ProteinID	Known_GO_Terms
A9WGS9	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
B3A0L2	GO:0005576, GO:0031640, GO:0050829, GO:0050830, GO:0050832
B3A0L3	GO:0005576, GO:0031640, GO:0050829, GO:0050830, GO:0050832
B3A0N4	GO:0005576, GO:0031640, GO:0050830
B3EWC5	GO:0031640, GO:0050829, GO:0050830, GO:0050832
B3EWQ6	GO:0050829, GO:0050830
B5YHS7	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
B5YJN4	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
B5YKI9	GO:0005886, GO:0030964, GO:0042773, GO:0048038, GO:0050136
B8DYT4	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
B8GWS7	GO:0005886, GO:0006974, GO:0051301, GO:0051782
B8YB60	GO:0000428, GO:0001054, GO:0001055, GO:0001056, GO:0003677, GO:0005737
B8YB61	GO:0000428, GO:0003677, GO:0003899, GO:0005737, GO:0006351
B8YB62	GO:0000428, GO:0003677, GO:0003899, GO:0005737, GO:0006351, GO:0046983
C0HL60	GO:0005576, GO:0050830, GO:1900426
C0HLL7	GO:0004364
C0HLL8	GO:0004602
C0HLU4	GO:0031640, GO:0050829, GO:0050830, GO:0051673
C1P607	GO:0012501
C1P615	GO:0012501
C1P617	GO:0012501
D0VWU4	GO:0005886, GO:0006605, GO:0008320, GO:0009306, GO:0043952, GO:0065002
E6Z0R4	GO:0005524, GO:1900723
F9RBV9	GO:0005886, GO:0016020, GO:0042802
I3R7F2	GO:0004658
I6X486	GO:0005576, GO:0046982, GO:0070208
L7N6B4	GO:0000166, GO:0006777, GO:1990133
O06492	GO:0005524, GO:0006412, GO:0006450, GO:0050566, GO:0050567, GO:0070681
O07227	GO:0006355, GO:0045727, GO:0060701
O25860	GO:0005886, GO:0030964, GO:0042773, GO:0048038, GO:0050136
O31587	GO:0003735, GO:0005737, GO:0006412, GO:0015935, GO:0019843
O31706	GO:0000166, GO:0006777, GO:1990133
O32242	GO:0003677, GO:0003700, GO:0005737, GO:0006355
